Codice Chiesa;Codice Pavimenti;Quadrante;Data;Quota;Cappela;Primario Stile;# Passi alla Cappella;Altare 1;# Passi alla Altare 1;Quota di Altare 1;Altare 2;# Passi alla Altare 2;Quota di Altare 2;Nota;Entrata?;Contenere Banco?;Contenere Reperti?;Numero di Reperti;MAPINFO_ID
STEF;STEF_D;D;05/07/2004;1,03;FALSO;;0,00;VERO;4;1,68;FALSO;0;0,00;contains small alter;FALSO;FALSO;FALSO;;1335
STEF;STEF_E;E;05/07/2004;0,88;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;1336
STEF;STEF_F;F;05/07/2004;0,91;FALSO;;0,00;VERO;4;1,55;FALSO;0;0,00;contains small alter;FALSO;FALSO;FALSO;;1337
STEF;STEF_G;G;05/07/2004;1,01;FALSO;;0,00;VERO;4;1,63;FALSO;0;0,00;contains small alter;FALSO;FALSO;FALSO;;1338
STEF;STEF_H;H;05/07/2004;0,85;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;FALSO;;1339
STEF;STEF_I;I;05/07/2004;0,87;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;1340
STEF;STEF_J;J;05/07/2004;0,96;FALSO;;0,00;VERO;4;1,55;FALSO;0;0,00;contains small alter;FALSO;FALSO;FALSO;;1341
STEF;STEF_K;K;05/07/2004;0,84;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;FALSO;;1342
STEF;STEF_L;L;05/07/2004;1,04;FALSO;;0,00;VERO;4;1,72;FALSO;0;0,00;contains small alter;FALSO;FALSO;FALSO;;1343
STEF;STEF_M;M;05/07/2004;0,88;FALSO;;0,00;VERO;4;1,55;FALSO;0;0,00;contains small alter;FALSO;FALSO;FALSO;;1344
STEF;STEF_N;N;05/07/2004;0,78;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;1345
STEF;STEF_O;O;05/07/2004;0,74;FALSO;;0,00;VERO;4;1,36;FALSO;0;0,00;contains small alter;FALSO;FALSO;VERO;;1346
STEF;STEF_P;P;05/07/2004;1,63;FALSO;;0,00;FALSO;;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;1347
STEF;STEF_Q;Q;05/07/2004;1,64;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;35 percent covered by platform;FALSO;FALSO;VERO;;1348
STEF;STEF_R;R;05/07/2004;1,62;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;1349
STEF;STEF_S;S;05/07/2004;1,60;VERO;;0,00;VERO;2;1,93;FALSO;0;0,00;side chapel;FALSO;VERO;VERO;;1350
STEF;STEF_T;T;05/07/2004;1,74;VERO;;2,00;VERO;3;2,25;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;1351
STEF;STEF_U;U;05/07/2004;2,37;VERO;;6,00;VERO;3;2,82;FALSO;0;0,00;main alter;FALSO;FALSO;FALSO;;1352
STEF;STEF_V;V;05/07/2004;2,38;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;choir;FALSO;FALSO;FALSO;;1353
STEF;STEF_W;W;05/07/2004;1,74;VERO;;2,00;VERO;4;2,37;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;1354
STEF;STEF_X;X;05/07/2004;1,80;VERO;;2,00;VERO;2;2,07;FALSO;0;0,00;sacristy, side chapel;FALSO;FALSO;VERO;;1355
TERE;TERE_A;A;18/06/2004;1,38;FALSO;;0,00;VERO;0;1,38;FALSO;0;0,00;;VERO;FALSO;VERO;;558
TERE;TERE_B;B;18/06/2004;1,34;FALSO;;0,00;VERO;0;1,34;FALSO;0;0,00;Large section of floor collapsing in lower right corner;VERO;FALSO;VERO;;559
TERE;TERE_C;C;18/06/2004;1,34;FALSO;;0,00;VERO;0;1,34;VERO;2;1,65;Large section of floor missing;FALSO;FALSO;VERO;;560
TERE;TERE_D;D;18/06/2004;1,31;FALSO;;0,00;VERO;0;1,31;VERO;2;1,57;;FALSO;FALSO;VERO;;561
