Codice Chiesa;Età;Chitata da
TOLE;1602;Venice and its Lagoon
TOLE;1930;Chiese di Venezia
TOMA;917;G. Tassini
TOMA;1375;Venice and its Lagoon
TOMA;1652;Venice and its Lagoon
TRIN;1450;M. Bortoletto
TROV;1028;G. Tassini
TROV;1028;Venice and its Lagoon
TROV;1050;Chiese di Venezia
TROV;1350;Chiese di Venezia
TROV;1584;Venice and its Lagoon
VALV;1308;G. Tassini
VALV;1348;Venice and its Lagoon
VIDA;1084;G. Tassini
VIDA;1750;Venice and its Lagoon
VIGN;1253;G. Tassini
VIGN;1253;The Churches of Venice
VIGN;1530;The Churches of Venice
VIGN;1534;Venice and its Lagoon
VISI;1400;Venice and its Lagoon
VISI;1524;Venice and its Lagoon
VISI;1827;M. Bortoletto
ZACC;650;G. Tassini
ZACC;829;Chiese di Venezia
ZACC;850;Venice and its Lagoon
ZACC;1400;Venice and its Lagoon
ZACC;1543;Chiese di Venezia
ZAND;1007;Chiese di Venezia
ZAND;1007;The Churches of Venice
ZAND;1007;Venice and its Lagoon
ZAND;1818;Chiese di Venezia
ZAND;1945;Venice and its Lagoon
ZANI;968;G. Tassini
ZANI;1762;Venice and its Lagoon
ZITE;1561;G. Tassini
ZULI;829;G. Tassini
ZULI;850;Chiese di Venezia
ZULI;950;Venice and its Lagoon
ZULI;1450;Chiese di Venezia
ZULI;1450;Venice and its Lagoon
